"agecat_cdc","sex_cdc","year_cdc","allcause","sncause","smncause","cardcause","pulcause","extcause","othcause"
2,2,1978,0.569646906381601,0.0458373825720765,0.0422740524781341,0.0205701328150308,0.0434078393262067,0.250566893424036,0.20926465824425
2,2,1979,0.569646906381601,0.0458373825720765,0.0422740524781341,0.0205701328150308,0.0434078393262067,0.250566893424036,0.20926465824425
2,2,1980,0.547381317233356,0.0391443148634479,0.0365879514437941,0.0247647706278956,0.0349902243065105,0.238860207023896,0.209621800411606
2,2,1981,0.530898328964386,0.0477592808992919,0.0443699125774066,0.0252662002176899,0.0326611856472577,0.220000816529641,0.205210845670505
2,2,1982,0.521500052270513,0.0463957296647366,0.0426298425166249,0.0204864260857279,0.0331398069033833,0.215107473900142,0.206370615716523
2,2,1983,0.484241680325992,0.0457887390031571,0.0416662801861526,0.0234096768537041,0.0312129024716055,0.20023371396879,0.183596648028736
2,2,1984,0.468096471929356,0.0402881793177588,0.03652022010099,0.0236222058589737,0.0324624178675467,0.184630001621672,0.187093667263405
2,2,1985,0.447799228681006,0.0368588777642532,0.0335343515345363,0.0215371481838185,0.0317998161103361,0.1866071027202,0.170996283902398
2,2,1986,0.461918229564173,0.039330514263699,0.035311337623613,0.0254069380462581,0.0254069380462581,0.196509029295635,0.175264809912323
2,2,1987,0.458385856712748,0.0392453644445846,0.0353921832082072,0.0221201145051295,0.0281139519839388,0.189376722247141,0.179529703531954
2,2,1988,0.454960795795641,0.0416952849014708,0.0370152019023261,0.024960442662105,0.0266622910254303,0.187628782056619,0.174013995150016
2,2,1989,0.444816351795775,0.0363457735596799,0.0318724475831039,0.01677497241216,0.0283776616639039,0.181728867798399,0.181589076361631
2,2,1990,0.409622448969714,0.0377538583959257,0.0322221575320538,0.0194992455451484,0.0251692389306171,0.162217127833043,0.164982978264979
2,2,1991,0.42687562603486,0.0370434828525044,0.0320594506141675,0.0207443503974025,0.0234384218775846,0.177404606969994,0.168244763937375
2,2,1992,0.389052702092801,0.0339680531776455,0.0304132569148687,0.0177739813138843,0.0244885964769073,0.152461261936874,0.160360809187489
2,2,1993,0.397480485764082,0.032455303164211,0.0285761832641061,0.0170681275604616,0.0209472474605665,0.161888603831045,0.165121203747799
2,2,1994,0.380194769193251,0.0341776980755001,0.0296806325392501,0.01785977455825,0.01837372490525,0.15842519446275,0.1513583771915
2,2,1995,0.360066643369251,0.028065539371813,0.0256081879982442,0.0148734425242327,0.0219868280793005,0.147699750979772,0.147441082414133
2,2,1996,0.339831982569849,0.0273277738965365,0.0232743720267153,0.013860019296808,0.0214438034403445,0.142653594837901,0.134546791098259
2,2,1997,0.314912537673728,0.0305650404212736,0.0261986060753774,0.0123054058838894,0.0203766936141824,0.132316192299886,0.119349205454497
2,2,1998,0.310242184552175,0.0267519000836496,0.0234245493269768,0.0133094030266913,0.0181007881163002,0.12936739741944,0.122712695906094
2,2,1999,0.303458384699292,0.0294917779325169,0.025488369163397,0.0105423097586825,0.0190829151328051,0.13251283025787,0.111828551617417
2,2,2000,0.287010580368689,0.0275689977430713,0.0249053264635475,0.00985558373423806,0.0169143126249761,0.121197043218333,0.111474643048071
2,2,2001,0.29564027006096,0.0293230159163724,0.0255739545206718,0.0139250851840307,0.0178080416295777,0.117693748815029,0.11689037851595
2,2,2002,0.271259536550702,0.0285536354263897,0.02458785272828,0.0103110350150852,0.0152021670094205,0.111438493816882,0.105754205282925
2,2,2003,0.280095062090358,0.0242251456225882,0.0216062109606868,0.0127018331102219,0.0185944360995001,0.113268924127237,0.111304723130811
2,2,2004,0.276928761502235,0.02748543887569,0.0242442314611039,0.0120572915822602,0.0190582995977662,0.11409050099343,0.104237230453088
2,2,2005,0.255744193123217,0.0232494721021107,0.0205520195377774,0.0089915085477776,0.0161847153859997,0.106485151230109,0.10083334585722
2,2,2006,0.268807108649004,0.0264948633405238,0.0218646930480051,0.00926034058503745,0.0162055960238155,0.112538861276497,0.10430744742313
2,2,2007,0.264812069184425,0.0261100348543367,0.022142333479413,0.0116471233909051,0.0162547766004939,0.105336071985878,0.105464062352811
2,2,2008,0.258132569892846,0.0254711077802956,0.0223030595489156,0.011278251703713,0.0193884551760459,0.100870655687141,0.101124099545651
2,2,2009,0.246120610429471,0.0242973288045462,0.0214017922112584,0.00969375294274643,0.021653578001979,0.0956786004738609,0.0947973502063386
2,2,2010,0.233398700059783,0.0221326353504967,0.0187372878819546,0.00867699908627427,0.0153419404134125,0.0907941063810148,0.096453018828585
2,2,2011,0.232751278140812,0.0238946179079921,0.0214925134622151,0.0102405505319966,0.0155504656226615,0.0941877795844132,0.0888778644937484
2,2,2012,0.232026239456679,0.0266009237775348,0.0221462236234022,0.00941850889730898,0.0141277633459635,0.092021377469654,0.0898576659662181
2,2,2013,0.223987480319266,0.0222062086505634,0.0186121401984491,0.00937024989301228,0.0168151059723919,0.0857442045004412,0.0898517113028575
2,2,2014,0.21281888496767,0.0202806898823232,0.0178418727445755,0.00937019216082022,0.0172000787609577,0.0861287526015119,0.0798391715620572
2,2,2015,0.216264086702892,0.022473999508911,0.0202908109851882,0.00886117694922777,0.0125854397249902,0.0820622039211093,0.090281266598654
2,2,2016,0.229343772983252,0.0252547363206823,0.0219216239128765,0.0071790113398894,0.0149990058351261,0.08678911923402,0.0951219002535345
